Smiles,Title
CCOC[C@H](C)NC(C1=NN=NN1CC1=CC=CO1)C1(C(=O)OC(C)(C)C)CCC1,m_281630____20792894____21623092____25335414
CCOC[C@H](C)NC1(C2=NN=NN2C2CC(F)(F)C2)CC(OCC2=CC=CC=C2)C1,m_281630____20792894____21623656____20772958
CCOC[C@H](C)NC(C1=CC2=C(CCOC2)S1)C1=NN=NN1C1=C(C)C=CC=C1C,m_281630____20792894____21624254____20773002
CCOC[C@H](C)NC1(C2=NN=NN2C2CC(F)(F)C2)CCN([C@H](C)C(=O)OC)CC1,m_281630____20792894____21625122____20772958
CCOC[C@H](C)NC(C)(C1=NN=NN1C1=CC(OC)=CC=C1)C1CCC2(CC1)CC2,m_281630____20792894____21626032____20773074
CCOC[C@H](C)NC(C1=CC=C(C2=CN(C)N=C2)C=C1)C1=NN=NN1C1CCCC1,m_281630____20792894____21626910____20772868
CCOC[C@H](C)NC(C1=CSN=C1C1=CC=CC=C1)C1=NN=NN1C1CCOCC1,m_281630____20792894____21627866____25335412
CCOC[C@H](C)NC(C1=CC=C(F)C(Br)=C1)C1=NN=NN1C1=CC=C2OCOC2=C1,m_281630____20792894____21628562____20773110
CCOC[C@H](C)NC(C1=CC=CC=C1C(C)C)C1=NN=NN1CC1=CC=C(F)C=C1,m_281630____20792894____21629170____20773080
CCOC[C@H](C)NC(C1=CC=C(N2C=CC(C)=N2)C=C1C)C1=NN=NN1CC(C)C,m_281630____20792894____21629772____27246246
CCOC[C@H](C)NC1(C2=NN=NN2C2=C(C)C=CC=C2C)CCC(C(C)(C)O)CC1,m_281630____20792894____27246082____20773002
COC(=O)CN1N=NN=C1C(NC(C)CSC1=CC=CC=C1)C1=CC(C(N)=O)=CS1,m_281630____20792904____21620430____28417840
CC(CSC1=CC=CC=C1)NC1(C2=NN=NN2CC(C)(C)C)COC2(CCCC2)C1,m_281630____20792904____21624786____28417820
CCC(C)N1N=NN=C1C(NC(C)CSC1=CC=CC=C1)C1C[C@H]2CC(OC)[C@H]2C1,m_281630____20792904____25334010____20772846
CN1C=NC(C(N[C@H]2C[C@@H]2C2=CC=C(Cl)C=C2)C2=NN=NN2CC2=CC=CS2)=C1Cl,m_281630____20792906____21618924____25335384
CCOC(=O)C1(C(N[C@H]2C[C@@H]2C2=CC=C(Cl)C=C2)C2=NN=NN2CCC#N)CCC1,m_281630____20792906____21622632____27246250
C=CCN1N=NN=C1C(N[C@H]1C[C@@H]1C1=CC=C(Cl)C=C1)C1=CC=C(OC)C(Br)=C1F,m_281630____20792906____21625196____20772824
N#CCCN1N=NN=C1C(N[C@H]1C[C@@H]1C1=CC=C(Cl)C=C1)C1=C(Cl)N=C2SC=CN12,m_281630____20792906____21628568____27246250
C#CC1(C)CCC(N[C@H]2C[C@@H]2C2=CC=C(Cl)C=C2)(C2=NN=NN2CC(C)(C)C)CC1,m_281630____20792906____27245992____28417820
C=CCCN1N=NN=C1C(NC12CC3CC(C1)CC(C(F)(F)F)(C3)C2)C1=CSC=C1,m_281630____20792908____21626838____28417812
CCN1C=C(C(NC(C(=O)NC)C2CCCCC2)C2=NN=NN2CC(C)(C)C)C=N1,m_281630____20792910____21617882____28417820
CNC(=O)C(NC1(C2=NN=NN2C2CCOCC2)CCCSCC1)C1CCCCC1,m_281630____20792910____21618962____25335412
CNC(=O)C(NC(C1=CC(=O)N2C=CC=CC2=N1)C1=NN=NN1C)C1CCCCC1,m_281630____20792910____21619638____20614580
CNC(=O)C(NC(C1=CC(C)=NS1)C1=NN=NN1CCCC1CC1)C1CCCCC1,m_281630____20792910____21620994____25335396
C=C(C)CN1N=NN=C1C1(NC(C(=O)NC)C2CCCCC2)CCC(C2CC2)CC1,m_281630____20792910____21622600____20614582
CCC1=NC(C(NC(C(=O)NC)C2CCCCC2)C2=NN=NN2C2CCC2)=C(Br)S1,m_281630____20792910____21623412____20772836
CNC(=O)C(NC1(C2=NN=NN2CCCF)CC2CCCC(C2)C1)C1CCCCC1,m_281630____20792910____21624262____25335380
CNC(=O)C(NC(C1=C(Cl)C(F)=CC=C1)C1=NN=NN1C1(C)CC1)C1CCCCC1,m_281630____20792910____21625354____20772840
CNC(=O)C(NC(C1=CC=C(Br)C=C1C)C1=NN=NN1C(C)(C)C)C1CCCCC1,m_281630____20792910____21626454____20772848
CNC(=O)C(NC(C)(CC(C)(C)C)C1=NN=NN1C1CC(F)(F)C1)C1CCCCC1,m_281630____20792910____21628062____20772958
C=CCN1N=NN=C1C(NC(C(=O)NC)C1CCCCC1)C1=CC2=C(CCCC2)O1,m_281630____20792910____21629126____20772824
CNC(=O)C(NC1(C2=NN=NN2C2(C)CC2)CC2(CCCOC2)C1)C1CCCCC1,m_281630____20792910____25334020____20772840
COC(=O)CN1N=NN=C1C1(NC23CC4CC(C2)C(O)C(C4)C3)CCC(OC)CC1,m_281630____20792920____21617818____28417840
COCCN1N=NN=C1C1(NC23CC4CC(C2)C(O)C(C4)C3)CC2(CCCCC2)C1,m_281630____20792920____21620378____20759520
CCC1=CC=CC(C(NC23CC4CC(C2)C(O)C(C4)C3)C2=NN=NN2CCOC)=N1,m_281630____20792920____21624034____20759520
COC1=NC=CN=C1C(NC12CC3CC(C1)C(O)C(C3)C2)C1=NN=NN1CC(F)F,m_281630____20792920____21627598____20772852
CC1(N2N=NN=C2C2(NC34CC5CC(C3)C(O)C(C5)C4)CCCCC2C2CC2)CC1,m_281630____20792920____27245902____20772840
COC1=CC=C(C(CF)NC(C2=C(C)C=NC=C2C)C2=NN=NN2C2(C)CC2)C=C1,m_281630____20792922____21619542____20772840
COC1=CC=C(C(CF)NC(C2=NN=NN2CC(F)F)C2CC3(C2)OCCO3)C=C1,m_281630____20792922____21625112____20772852
COC1=CC=C(C(CF)NC2(C3=NN=NN3CCC#N)CCC2CC(F)(F)F)C=C1,m_281630____20792922____25333912____27246250
C[C@@H]1CCCC(NCC(CO)CC2=CC=CC=C2)(C2=NN=NN2CC2=CC=CS2)C1,m_281630____20792924____21618730____25335384
CCN1N=NN=C1C(NCC(CO)CC1=CC=CC=C1)C1=C(C)C=C(N(C)C)N=C1,m_281630____20792924____21625390____20648542
COC1=CC=CC(CN2N=NN=C2C(NC2CC23CCOCC3)C2=CC=CC=N2)=C1,m_281630____20792926____21549648____25335402
COC(=O)CN1N=NN=C1C(NC1CC12CCOCC2)C1=C(C)SC2=CC=CC=C12,m_281630____20792926____21619112____28417840
CCC(C)(C)N1N=NN=C1C(NC1CC12CCOCC2)C1=CSC(C2=CC=CS2)=N1,m_281630____20792926____21621012____20772906
ClC1=CC=CC=C1N1N=NN=C1C(NC1CC12CCOCC2)C1=CON=C1C1CC1,m_281630____20792926____21623066____20772988
COC(=O)CN1N=NN=C1C(NC1CC12CCOCC2)C1=CC=C([N+](=O)[O-])C(Cl)=C1,m_281630____20792926____21624950____28417840
CC(C)(C)N1N=C(C(NC2CC23CCOCC3)C2=NN=NN2C2CC2)C=C1C1CC1,m_281630____20792926____21627100____20772826
CC1(CCN2N=NN=C2C(NC2CC23CCOCC3)C(C)(C)C2=CC=CC=C2)CC1,m_281630____20792926____21629322____25335392
CC(C)C1(C)CC(NC2CC23CCOCC3)(C2=NN=NN2C2CCC(F)(F)CC2)C1,m_281630____20792926____27246124____20773092
CCCN1N=NN=C1C1(NC23CC4CC(C2)CC(C(=O)OC)(C4)C3)CCOC(C)C1,m_281630____20792928____21626584____20772830
COC(=O)C1=CC=C2CCCC(NC3(C4=NN=NN4CCC#N)CC(C)(C)C3)C2=C1,m_281630____20792930____21624446____27246250
C=CCCN1N=NN=C1C(NC1CCC(C(=O)N(C)C)CC1)C1=CN=C(C(F)F)S1,m_281630____20792932____21618474____28417812
